# KAGRAplusCombined
# freq[Hz] htotal[/rtHz]
4.4223e+01 6.9337e-24
4.4632e+01 6.7983e-24
4.5046e+01 6.6656e-24
4.5463e+01 6.5355e-24
4.5884e+01 6.4079e-24
4.6309e+01 6.2828e-24
4.6738e+01 6.1602e-24
4.7171e+01 6.0399e-24
4.7608e+01 5.9220e-24
4.8049e+01 5.8064e-24
4.8494e+01 5.6931e-24
4.8943e+01 5.5819e-24
4.9396e+01 5.4730e-24
4.9854e+01 5.3661e-24
5.0315e+01 5.2614e-24
5.0782e+01 5.1587e-24
5.1252e+01 5.0580e-24
5.1727e+01 4.9593e-24
5.2206e+01 4.8629e-24
5.2689e+01 4.7691e-24
5.3177e+01 4.6784e-24
5.3670e+01 4.5911e-24
5.4167e+01 4.5074e-24
5.4669e+01 4.4272e-24
5.5175e+01 4.3503e-24
5.5686e+01 4.2765e-24
5.6202e+01 4.2052e-24
5.6722e+01 4.1362e-24
5.7248e+01 4.0690e-24
5.7778e+01 4.0036e-24
5.8313e+01 3.9397e-24
5.8853e+01 3.8772e-24
5.9398e+01 3.8161e-24
5.9948e+01 3.7563e-24
6.0504e+01 3.6979e-24
6.1064e+01 3.6408e-24
6.1630e+01 3.5851e-24
6.2200e+01 3.5307e-24
6.2777e+01 3.4777e-24
6.3358e+01 3.4260e-24
6.3945e+01 3.3756e-24
6.4537e+01 3.3265e-24
6.5135e+01 3.2786e-24
6.5738e+01 3.2320e-24
6.6347e+01 3.1866e-24
6.6962e+01 3.1424e-24
6.7582e+01 3.0993e-24
6.8208e+01 3.0573e-24
6.8840e+01 3.0164e-24
6.9477e+01 2.9765e-24
7.0121e+01 2.9377e-24
7.0770e+01 2.8998e-24
7.1426e+01 2.8630e-24
7.2087e+01 2.8270e-24
7.2755e+01 2.7920e-24
7.3429e+01 2.7578e-24
7.4109e+01 2.7246e-24
7.4795e+01 2.6921e-24
7.5488e+01 2.6605e-24
7.6187e+01 2.6297e-24
7.6893e+01 2.5997e-24
7.7605e+01 2.5705e-24
7.8324e+01 2.5419e-24
7.9049e+01 2.5141e-24
7.9781e+01 2.4870e-24
