# O4 Sensitivity 0.3excess-PR-50WatBS-300K-PessimisticLaserNoise
# frequency(Hz) strain(/rtHz) LF_noise susp_thermal mirror_thermal quantum laser_noise
4.1360e+00 5.9929e-15 5.9929e-15 2.9460e-19 2.0060e-22 1.1639e-21 2.4877e-21
4.1750e+00 5.6648e-15 5.6648e-15 2.8820e-19 1.9880e-22 1.1420e-21 2.4232e-21
4.2130e+00 5.3650e-15 5.3650e-15 2.8180e-19 1.9710e-22 1.1205e-21 2.3625e-21
4.2520e+00 5.0765e-15 5.0765e-15 2.7570e-19 1.9530e-22 1.0994e-21 2.3023e-21
4.2920e+00 4.7991e-15 4.7991e-15 2.6960e-19 1.9360e-22 1.0786e-21 2.2427e-21
4.3310e+00 4.5456e-15 4.5456e-15 2.6380e-19 1.9180e-22 1.0583e-21 2.1866e-21
4.3720e+00 4.2958e-15 4.2958e-15 2.5800e-19 1.9010e-22 1.0383e-21 2.1297e-21
4.4120e+00 4.0673e-15 4.0673e-15 2.5240e-19 1.8840e-22 1.0187e-21 2.0761e-21
4.4530e+00 3.8477e-15 3.8477e-15 2.4700e-19 1.8670e-22 9.9949e-22 2.0230e-21
4.4940e+00 3.6419e-15 3.6419e-15 2.4160e-19 1.8510e-22 9.8060e-22 1.9718e-21
4.5360e+00 3.4442e-15 3.4442e-15 2.3640e-19 1.8340e-22 9.6206e-22 1.9211e-21
4.5780e+00 3.2589e-15 3.2589e-15 2.3130e-19 1.8180e-22 9.4386e-22 1.8721e-21
4.6200e+00 3.0851e-15 3.0851e-15 2.2630e-19 1.8020e-22 9.2599e-22 1.8249e-21
4.6630e+00 2.9183e-15 2.9183e-15 2.2150e-19 1.7860e-22 9.0845e-22 1.7781e-21
4.7060e+00 2.7619e-15 2.7619e-15 2.1670e-19 1.7700e-22 8.9123e-22 1.7330e-21
4.7500e+00 2.6119e-15 2.6119e-15 2.1210e-19 1.7540e-22 8.7432e-22 1.6884e-21
4.7940e+00 2.4713e-15 2.4713e-15 2.0750e-19 1.7380e-22 8.5773e-22 1.6454e-21
