# O4 Sensitivity 0.04excess-PR-50WatBS-40K-FeasibleLaserNoise
# frequency(Hz) strain(/rtHz) LF_noise susp_thermal mirror_thermal quantum laser_noise
3.8420e+00 1.2437e-15 1.2437e-15 3.2710e-21 2.4070e-23 1.3544e-21 3.0582e-21
3.8780e+00 1.1760e-15 1.1760e-15 3.1840e-21 2.3990e-23 1.3291e-21 2.9793e-21
3.9140e+00 1.1126e-15 1.1126e-15 3.1000e-21 2.3900e-23 1.3041e-21 2.9032e-21
3.9500e+00 1.0531e-15 1.0531e-15 3.0180e-21 2.3820e-23 1.2797e-21 2.8297e-21
3.9870e+00 9.9582e-16 9.9582e-16 2.9390e-21 2.3740e-23 1.2556e-21 2.7568e-21
4.0240e+00 9.4213e-16 9.4213e-16 2.8620e-21 2.3660e-23 1.2321e-21 2.6864e-21
4.0610e+00 8.9179e-16 8.9179e-16 2.7870e-21 2.3580e-23 1.2089e-21 2.6185e-21
4.0980e+00 8.4456e-16 8.4456e-16 2.7150e-21 2.3500e-23 1.1862e-21 2.5528e-21
4.1360e+00 7.9906e-16 7.9906e-16 2.6450e-21 2.3420e-23 1.1639e-21 2.4877e-21
4.1750e+00 7.5530e-16 7.5530e-16 2.5760e-21 2.3340e-23 1.1420e-21 2.4232e-21
4.2130e+00 7.1534e-16 7.1534e-16 2.5100e-21 2.3260e-23 1.1205e-21 2.3625e-21
4.2520e+00 6.7686e-16 6.7686e-16 2.4460e-21 2.3180e-23 1.0994e-21 2.3023e-21
4.2920e+00 6.3988e-16 6.3988e-16 2.3830e-21 2.3100e-23 1.0786e-21 2.2427e-21
4.3310e+00 6.0608e-16 6.0608e-16 2.3220e-21 2.3030e-23 1.0583e-21 2.1866e-21
4.3720e+00 5.7277e-16 5.7277e-16 2.2630e-21 2.2950e-23 1.0383e-21 2.1297e-21
4.4120e+00 5.4231e-16 5.4231e-16 2.2060e-21 2.2870e-23 1.0187e-21 2.0761e-21
4.4530e+00 5.1303e-16 5.1303e-16 2.1500e-21 2.2790e-23 9.9949e-22 2.0230e-21
4.4940e+00 4.8558e-16 4.8558e-16 2.0960e-21 2.2710e-23 9.8060e-22 1.9717e-21
4.5360e+00 4.5922e-16 4.5922e-16 2.0430e-21 2.2640e-23 9.6206e-22 1.9210e-21
4.5780e+00 4.3452e-16 4.3452e-16 1.9920e-21 2.2560e-23 9.4386e-22 1.8721e-21
4.6200e+00 4.1135e-16 4.1135e-16 1.9420e-21 2.2480e-23 9.2599e-22 1.8248e-21
4.6630e+00 3.8911e-16 3.8911e-16 1.8930e-21 2.2410e-23 9.0845e-22 1.7781e-21
4.7060e+00 3.6825e-16 3.6825e-16 1.8460e-21 2.2330e-23 8.9123e-22 1.7330e-21
4.7500e+00 3.4826e-16 3.4826e-16 1.8000e-21 2.2250e-23 8.7432e-22 1.6884e-21
4.7940e+00 3.2951e-16 3.2951e-16 1.7550e-21 2.2180e-23 8.5773e-22 1.6454e-21
4.8380e+00 3.1194e-16 3.1194e-16 1.7120e-21 2.2100e-23 8.4144e-22 1.6038e-21
4.8830e+00 2.9508e-16 2.9508e-16 1.6700e-21 2.2030e-23 8.2545e-22 1.5628e-21
4.9280e+00 2.7928e-16 2.7928e-16 1.6290e-21 2.1950e-23 8.0976e-22 1.5232e-21
4.9740e+00 2.6413e-16 2.6413e-16 1.5880e-21 2.1880e-23 7.9435e-22 1.4840e-21
5.0200e+00 2.4994e-16 2.4994e-16 1.5500e-21 2.1800e-23 7.7922e-22 1.4463e-21
5.0660e+00 2.3663e-16 2.3663e-16 1.5120e-21 2.1730e-23 7.6438e-22 1.4098e-21
5.1130e+00 2.2387e-16 2.2387e-16 1.4750e-21 2.1660e-23 7.4980e-22 1.3738e-21
5.1610e+00 2.1167e-16 2.1167e-16 1.4390e-21 2.1580e-23 7.3549e-22 1.3383e-21
5.2090e+00 2.0023e-16 2.0023e-16 1.4040e-21 2.1510e-23 7.2145e-22 1.3041e-21
5.2570e+00 1.8951e-16 1.8951e-16 1.3700e-21 2.1440e-23 7.0766e-22 1.2710e-21
5.3050e+00 1.7945e-16 1.7945e-16 1.3360e-21 2.1360e-23 6.9413e-22 1.2391e-21
5.3550e+00 1.6963e-16 1.6963e-16 1.3040e-21 2.1290e-23 6.8085e-22 1.2070e-21
5.4040e+00 1.6061e-16 1.6061e-16 1.2730e-21 2.1220e-23 6.6781e-22 1.1766e-21
5.4540e+00 1.5197e-16 1.5197e-16 1.2420e-21 2.1150e-23 6.5501e-22 1.1466e-21
5.5050e+00 1.4372e-16 1.4372e-16 1.2120e-21 2.1070e-23 6.4245e-22 1.1171e-21
5.5560e+00 1.3598e-16 1.3598e-16 1.1830e-21 2.1000e-23 6.3011e-22 1.0886e-21
5.6070e+00 1.2873e-16 1.2873e-16 1.1550e-21 2.0930e-23 6.1801e-22 1.0612e-21
5.6590e+00 1.2179e-16 1.2179e-16 1.1270e-21 2.0860e-23 6.0612e-22 1.0341e-21
5.7120e+00 1.1517e-16 1.1517e-16 1.1000e-21 2.0790e-23 5.9446e-22 1.0074e-21
5.7640e+00 1.0907e-16 1.0907e-16 1.0740e-21 2.0720e-23 5.8301e-22 9.8219e-22
5.8180e+00 1.0314e-16 1.0314e-16 1.0480e-21 2.0650e-23 5.7177e-22 9.5688e-22
5.8720e+00 9.7576e-17 9.7576e-17 1.0230e-21 2.0580e-23 5.6074e-22 9.3244e-22
5.9260e+00 9.2361e-17 9.2361e-17 9.9920e-22 2.0510e-23 5.4991e-22 9.0885e-22
5.9810e+00 8.7381e-17 8.7381e-17 9.7560e-22 2.0440e-23 5.3929e-22 8.8564e-22
6.0360e+00 8.2711e-17 8.2711e-17 9.5250e-22 2.0370e-23 5.2885e-22 8.6323e-22
6.0920e+00 7.8253e-17 7.8253e-17 9.3010e-22 2.0300e-23 5.1861e-22 8.4119e-22
6.1490e+00 7.4000e-17 7.4000e-17 9.0830e-22 2.0230e-23 5.0856e-22 8.1954e-22
6.2060e+00 7.0015e-17 7.0015e-17 8.8700e-22 2.0160e-23 4.9870e-22 7.9864e-22
6.2630e+00 6.6277e-17 6.6277e-17 8.6630e-22 2.0090e-23 4.8902e-22 7.7846e-22
6.3210e+00 6.2711e-17 6.2711e-17 8.4610e-22 2.0020e-23 4.7951e-22 7.5862e-22
6.3800e+00 5.9311e-17 5.9311e-17 8.2640e-22 1.9950e-23 4.7018e-22 7.3914e-22
6.4390e+00 5.6124e-17 5.6124e-17 8.0720e-22 1.9890e-23 4.6103e-22 7.2033e-22
6.4980e+00 5.3135e-17 5.3135e-17 7.8850e-22 1.9820e-23 4.5204e-22 7.0217e-22
6.5590e+00 5.0238e-17 5.0238e-17 7.7030e-22 1.9750e-23 4.4322e-22 6.8404e-22
6.6190e+00 4.7567e-17 4.7567e-17 7.5260e-22 1.9680e-23 4.3457e-22 6.6682e-22
6.6810e+00 4.4979e-17 4.4979e-17 7.3530e-22 1.9620e-23 4.2607e-22 6.4964e-22
6.7430e+00 4.2554e-17 4.2554e-17 7.1850e-22 1.9550e-23 4.1773e-22 6.3305e-22
6.8050e+00 4.0280e-17 4.0280e-17 7.0210e-22 1.9480e-23 4.0955e-22 6.1703e-22
6.8680e+00 3.8113e-17 3.8113e-17 6.8620e-22 1.9420e-23 4.0151e-22 6.0132e-22
6.9320e+00 3.6050e-17 3.6050e-17 6.7060e-22 1.9350e-23 3.9363e-22 5.8590e-22
6.9960e+00 3.4116e-17 3.4116e-17 6.5550e-22 1.9280e-23 3.8589e-22 5.7102e-22
7.0610e+00 3.2275e-17 3.2275e-17 6.4080e-22 1.9220e-23 3.7830e-22 5.5642e-22
7.1260e+00 3.0548e-17 3.0548e-17 6.2640e-22 1.9150e-23 3.7085e-22 5.4233e-22
7.1920e+00 2.8904e-17 2.8904e-17 6.1250e-22 1.9090e-23 3.6353e-22 5.2851e-22
7.2590e+00 2.7340e-17 2.7340e-17 5.9890e-22 1.9020e-23 3.5636e-22 5.1496e-22
7.3260e+00 2.5874e-17 2.5874e-17 5.8570e-22 1.8960e-23 3.4931e-22 5.0189e-22
7.3940e+00 2.4478e-17 2.4478e-17 5.7290e-22 1.8890e-23 3.4240e-22 4.8907e-22
7.4620e+00 2.3170e-17 2.3170e-17 5.6040e-22 1.8830e-23 3.3561e-22 4.7669e-22
7.5310e+00 2.1925e-17 2.1925e-17 5.4830e-22 1.8760e-23 3.2896e-22 4.6457e-22
7.6010e+00 2.0741e-17 2.0741e-17 5.3650e-22 1.8700e-23 3.2242e-22 4.5269e-22
7.6720e+00 1.9616e-17 1.9616e-17 5.2500e-22 1.8630e-23 3.1601e-22 4.4106e-22
7.7430e+00 1.8561e-17 1.8561e-17 5.1390e-22 1.8570e-23 3.0972e-22 4.2983e-22
7.8140e+00 1.7572e-17 1.7572e-17 5.0310e-22 1.8510e-23 3.0355e-22 4.1898e-22
7.8870e+00 1.6618e-17 1.6618e-17 4.9270e-22 1.8440e-23 2.9749e-22 4.0821e-22
7.9600e+00 1.5725e-17 1.5725e-17 4.8260e-22 1.8380e-23 2.9154e-22 3.9782e-22
8.0340e+00 1.4875e-17 1.4875e-17 4.7280e-22 1.8320e-23 2.8571e-22 3.8764e-22
8.1080e+00 1.4079e-17 1.4079e-17 4.6330e-22 1.8260e-23 2.7998e-22 3.7782e-22
8.1830e+00 1.3322e-17 1.3322e-17 4.5420e-22 1.8190e-23 2.7436e-22 3.6821e-22
8.2590e+00 1.2604e-17 1.2604e-17 4.4540e-22 1.8130e-23 2.6885e-22 3.5880e-22
8.3350e+00 1.1930e-17 1.1930e-17 4.3690e-22 1.8070e-23 2.6344e-22 3.4971e-22
8.4120e+00 1.1289e-17 1.1289e-17 4.2870e-22 1.8010e-23 2.5814e-22 3.4083e-22
8.4900e+00 1.0681e-17 1.0681e-17 4.2090e-22 1.7940e-23 2.5293e-22 3.3213e-22
8.5690e+00 1.0104e-17 1.0104e-17 4.1330e-22 1.7880e-23 2.4782e-22 3.2363e-22
8.6480e+00 9.5624e-18 9.5624e-18 4.0620e-22 1.7820e-23 2.4281e-22 3.1542e-22
8.7290e+00 9.0422e-18 9.0422e-18 3.9940e-22 1.7760e-23 2.3789e-22 3.0730e-22
8.8090e+00 8.5605e-18 8.5605e-18 3.9290e-22 1.7700e-23 2.3306e-22 2.9955e-22
8.8910e+00 8.0976e-18 8.0976e-18 3.8680e-22 1.7640e-23 2.2833e-22 2.9188e-22
8.9730e+00 7.6636e-18 7.6636e-18 3.8110e-22 1.7580e-23 2.2368e-22 2.8447e-22
9.0560e+00 7.2517e-18 7.2517e-18 3.7570e-22 1.7520e-23 2.1913e-22 2.7723e-22
9.1400e+00 6.8609e-18 6.8609e-18 3.7080e-22 1.7460e-23 2.1466e-22 2.7016e-22
9.2250e+00 6.4903e-18 6.4903e-18 3.6640e-22 1.7400e-23 2.1027e-22 2.6325e-22
9.3100e+00 6.1427e-18 6.1427e-18 3.6240e-22 1.7340e-23 2.0597e-22 2.5657e-22
9.3970e+00 5.8093e-18 5.8093e-18 3.5890e-22 1.7280e-23 2.0175e-22 2.4998e-22
9.4840e+00 5.4968e-18 5.4968e-18 3.5590e-22 1.7220e-23 1.9761e-22 2.4361e-22
